,name,email,id,is_customer
0,Randy Young,randy@example.com,0,1
1,Michael Cox,michael@example.com,1,1
2,Raymond Cox,raymond@example.com,2,1
3,Mary Phillips,mary@example.com,3,1
4,Kelly Garza,kelly@example.com,4,1
5,David Norton,david@example.com,5,1
6,John Taylor,john@example.com,6,0
7,Anita Wang,anita@example.com,7,1
8,Deanna Munoz,deanna@example.com,8,0
9,Kelly Mcmillan,kelly@example.com,9,1
10,Nicholas Garcia,nicholas@example.com,10,1
11,Karen Gibbs,karen@example.com,11,1
12,Kenneth Brown,kenneth@example.com,12,1
